filmid	moziid	datum	nezoszam	bevetel
41	1	1999.01.01	208	85440
19	2	1999.01.01	157	70651
27	3	1999.01.01	187	53969
23	4	1999.01.01	97	43122
37	5	1999.01.01	81	30127
25	6	1999.01.01	142	70690
10	7	1999.01.01	82	36344
35	8	1999.01.01	64	31812
16	9	1999.01.01	91	44652
30	10	1999.01.01	122	36548
27	11	1999.01.01	114	48098
24	12	1999.01.01	223	77812
27	13	1999.01.01	115	25555
43	14	1999.01.01	75	36625
6	15	1999.01.01	88	23324
36	16	1999.01.01	126	44500
17	17	1999.01.01	118	24644
1	18	1999.01.01	113	26829
16	19	1999.01.01	126	38274
13	20	1999.01.01	58	14800
2	21	1999.01.01	220	88840
43	22	1999.01.01	148	32912
30	23	1999.01.01	91	36471
28	24	1999.01.01	57	21265
27	25	1999.01.01	89	31439
23	26	1999.01.01	49	24730
15	27	1999.01.01	43	12607
18	28	1999.01.01	153	48142
21	29	1999.01.01	128	56848
39	30	1999.01.01	87	19735
40	31	1999.01.01	49	14767
29	32	1999.01.01	126	34560
17	33	1999.01.01	42	10844
1	34	1999.01.01	60	19180
43	35	1999.01.01	90	37530
11	36	1999.01.01	41	12687
15	37	1999.01.01	77	16924
43	1	1999.01.02	89	23361
5	2	1999.01.02	167	80594
17	3	1999.01.02	227	107382
32	4	1999.01.02	79	39626
28	5	1999.01.02	202	52206
16	6	1999.01.02	123	60732
5	7	1999.01.02	57	27976
3	8	1999.01.02	166	74504
32	9	1999.01.02	124	51536
20	10	1999.01.02	131	40086
41	11	1999.01.02	111	31326
40	12	1999.01.02	127	47220
33	13	1999.01.02	81	31427
17	14	1999.01.02	90	34940
24	15	1999.01.02	223	92176
14	16	1999.01.02	146	39582
43	17	1999.01.02	33	16843
28	18	1999.01.02	124	33840
23	19	1999.01.02	162	51444
8	20	1999.01.02	105	42725
5	21	1999.01.02	156	32916
37	22	1999.01.02	163	61710
5	23	1999.01.02	87	33995
3	24	1999.01.02	82	41872
43	25	1999.01.02	73	30549
37	26	1999.01.02	116	43756
23	27	1999.01.02	117	56394
6	28	1999.01.02	294	94868
39	29	1999.01.02	49	16323
21	30	1999.01.02	78	34898
33	31	1999.01.02	53	21516
39	32	1999.01.02	149	32792
40	33	1999.01.02	72	19480
41	34	1999.01.02	104	33216
12	35	1999.01.02	93	42894
7	36	1999.01.02	52	16168
13	37	1999.01.02	56	18432
5	1	1999.01.03	160	67300
2	2	1999.01.03	75	33300
39	3	1999.01.03	221	102660
44	4	1999.01.03	148	33024
1	5	1999.01.03	182	67212
9	6	1999.01.03	152	71668
22	7	1999.01.03	154	55346
31	8	1999.01.03	178	47036
23	9	1999.01.03	61	14127
30	10	1999.01.03	120	52420
36	11	1999.01.03	285	91675
22	12	1999.01.03	148	75356
35	13	1999.01.03	172	49676
10	14	1999.01.03	205	45495
6	15	1999.01.03	62	29892
26	16	1999.01.03	193	83890
7	17	1999.01.03	72	18852
15	18	1999.01.03	55	13670
13	19	1999.01.03	43	18688
40	20	1999.01.03	105	26740
12	21	1999.01.03	163	76284
19	22	1999.01.03	163	51467
39	23	1999.01.03	135	40325
44	24	1999.01.03	82	36732
3	25	1999.01.03	170	49310
5	26	1999.01.03	74	26644
41	27	1999.01.03	70	16080
8	28	1999.01.03	285	76950
15	29	1999.01.03	83	24725
13	30	1999.01.03	24	11528
43	31	1999.01.03	119	44659
18	32	1999.01.03	79	34896
33	33	1999.01.03	112	24108
12	34	1999.01.03	80	24400
31	35	1999.01.03	99	26154
7	36	1999.01.03	66	24824
16	37	1999.01.03	73	21505
34	1	1999.01.04	182	52178
5	2	1999.01.04	200	58300
4	3	1999.01.04	284	78948
31	4	1999.01.04	133	36745
41	5	1999.01.04	158	43112
18	6	1999.01.04	129	44041
39	7	1999.01.04	113	42271
43	8	1999.01.04	126	63022
1	9	1999.01.04	117	52144
16	10	1999.01.04	154	65626
20	11	1999.01.04	225	71100
7	12	1999.01.04	279	119259
27	13	1999.01.04	169	65996
3	14	1999.01.04	193	44125
15	15	1999.01.04	180	55880
26	16	1999.01.04	74	15648
42	17	1999.01.04	55	16750
31	18	1999.01.04	85	39275
24	19	1999.01.04	59	23425
13	20	1999.01.04	81	36531
26	21	1999.01.04	59	21876
11	22	1999.01.04	124	53324
38	23	1999.01.04	100	37000
40	24	1999.01.04	131	53924
38	25	1999.01.04	101	31299
41	26	1999.01.04	120	53960
21	27	1999.01.04	82	33288
1	28	1999.01.04	204	67396
35	29	1999.01.04	122	45830
2	30	1999.01.04	27	11162
43	31	1999.01.04	134	37452
11	32	1999.01.04	67	14968
31	33	1999.01.04	88	33788
41	34	1999.01.04	139	38374
26	35	1999.01.04	114	51518
36	36	1999.01.04	106	34444
34	37	1999.01.04	123	35479
1	1	1999.01.05	297	103856
22	2	1999.01.05	112	26700
8	3	1999.01.05	278	125288
39	4	1999.01.05	30	12720
37	5	1999.01.05	46	23150
31	6	1999.01.05	43	11007
24	7	1999.01.05	163	71168
10	8	1999.01.05	54	18418
32	9	1999.01.05	47	10105
26	10	1999.01.05	61	16043
6	11	1999.01.05	225	50125
5	12	1999.01.05	306	92188
6	13	1999.01.05	113	27429
11	14	1999.01.05	50	19150
12	15	1999.01.05	64	32552
12	16	1999.01.05	44	9308
13	17	1999.01.05	94	22444
8	18	1999.01.05	134	28268
10	19	1999.01.05	155	65615
3	20	1999.01.05	100	36200
40	21	1999.01.05	59	12431
25	22	1999.01.05	179	73021
40	23	1999.01.05	148	59952
15	24	1999.01.05	118	43706
39	25	1999.01.05	147	68796
40	26	1999.01.05	69	22349
21	27	1999.01.05	53	18766
10	28	1999.01.05	255	123900
34	29	1999.01.05	81	39399
5	30	1999.01.05	46	10744
6	31	1999.01.05	102	32398
19	32	1999.01.05	199	59307
41	33	1999.01.05	88	33024
36	34	1999.01.05	96	22688
4	35	1999.01.05	228	103044
31	36	1999.01.05	151	61906
2	37	1999.01.05	123	45803
26	1	1999.01.06	227	112049
29	2	1999.01.06	232	56884
1	3	1999.01.06	163	42302
31	4	1999.01.06	147	45035
29	5	1999.01.06	136	53712
41	6	1999.01.06	137	37264
11	7	1999.01.06	84	25684
