id	nev	varos	ferohely
1	Gárdonyi Lajos	Budapest	320
2	Pécsi Sándor	Sárospatak	250
3	Páger Antal	Szeged	303
4	Dayka Margit	Szeged	150
5	Csortos Gyula	Gyõr	220
6	Latabár Kálmán	Szolnok	160
7	Kabos Gyula	Nyíregyháza	180
8	Jávor Pál	Eger	200
9	Karády Katalin	Eger	175
10	Gózon Gyula	Tatabánya	180
11	Salamon Béla	Kaposvár	300
12	Gertler Viktor	Gyõr	310
13	Várkonyi Zoltán	Siklós	180
14	Mály Gerõ	Zalaegerszeg	210
15	Székely István	Siófok	240
16	Keleti Márton	Szombathely	195
17	Ráday Imre	Kistelek	150
18	Bilicsi Tivadar	Tiszafüred	145
19	Szabó Sándor	Érd	175
20	Blaha Lujza	Komárom	210
21	Tolnay Klári	Balatonfüred	230
22	Latinovits Zoltán	Békéscsaba	260
23	Kiss Manyi	Pécs	150
24	Somlay Artúr	Debrecen	180
25	Fedák Sári	Keszthely	230
26	Makláry Zoltán	Budapest	155
27	Major Tamás	Pécs	140
28	Gobbi Hilda	Budapest	300
29	Törzs Jenõ	Szekszárd	130
30	Bajor Gizi	Budapest	120
31	Ujházi Ede	Budapest	140
32	Rózsahegyi Kálmán	Miskolc	210
33	Honthy Hanna	Veszprém	120
34	Márkus Emília	Sopron	160
35	Varsányi Irén	Budapest	300
36	Hegedüs Gyula	Budapest	155
37	Rajnay Gábor	Gyöngyös	210
